LOCALIDAD_CODE,DEPARTAMENTO,size,DPTOLOC_COD,LOC_NOMBRE,DPTO_CODIGO,DPTO_NOMBRE,LAT,LON
06722,06,1614,06722,CENTENARIO,06,Durazno,-32.8283195,-56.4986474
03839,03,1560,03839,VILLA SAN JOSE,03,Canelones,-34.7164287,-56.0741733
16826,16,1517,16826,RAFAEL PERAZA,16,San José,-34.5231547,-56.8005675
04821,04,1489,04821,ACEGUA,04,Cerro Largo,-31.8718318,-54.1627778
03725,03,1463,03725,ESTACION LA FLORESTA,03,Canelones,-34.7346878,-55.6838637
10954,10,1456,10954,PLAYA HERMOSA,10,Maldonado,-34.8332505,-55.3027305
03723,03,1453,03723,JUANICO,03,Canelones,-34.5952681,-56.2552383
19722,19,1429,19722,GRAL. ENRIQUE MARTINEZ,19,Treinta y Tres,,
03997,03,1389,03997,LA TAHONA,03,Canelones,-34.794552,-55.9821329
14821,14,1373,14821,LA AGUADA Y COSTA AZUL,14,Rocha,-34.6409179,-54.1577652
14957,14,1346,14957,PUIMAYEN,14,Rocha,-33.7637876,-53.401335
06790,06,1321,06790,CERRO CHATO,06,Durazno,-33.0983705,-55.1356591
08621,08,1316,08621,CARDAL,08,Florida,-34.2914025,-56.3916077
19723,19,1309,19723,VILLA SARA,19,Treinta y Tres,-33.2539778,-54.4140731
17950,17,1296,17950,CHACRAS DE DOLORES,17,Soriano,-33.5509052,-58.2152848
17623,17,1290,17623,VILLA SORIANO,17,Soriano,-33.3939059,-58.3197607
19790,19,1288,19790,CERRO CHATO,19,Treinta y Tres,-33.1089909,-55.1301349
03980,03,1274,03980,VILLA ARGENTINA,03,Canelones,-34.7686332,-55.7764552
06622,06,1268,06622,LA PALOMA,06,Durazno,-32.727674,-55.5796648
04621,04,1264,04621,TUPAMBAE,04,Cerro Largo,-32.8363645,-54.7632651
10940,10,1262,10940,GREGORIO AZNAREZ,10,Maldonado,-34.7474726,-55.3993241
03837,03,1249,03837,VILLA FELICIDAD,03,Canelones,-34.6417881,-56.2407745
10942,10,1229,10942,LA BARRA,10,Maldonado,-34.914587,-54.8614131
11827,11,1202,11827,PIEDRAS COLORADAS,11,Paysandú,-32.3730042,-57.6087097
18828,18,1200,18828,LAS TOSCAS DE CARAGUATA,18,Tacuarembó,-32.1850464,-55.0089047
06621,06,1176,06621,BLANQUILLO,06,Durazno,-32.8868081,-55.6153834
11723,11,1175,11723,PORVENIR,11,Paysandú,-32.3932041,-57.9678882
10934,10,1168,10934,EL CHORRO,10,Maldonado,-34.9004074,-54.8127397
08721,08,1166,08721,ALEJANDRO GALLINAL,08,Florida,-33.8617347,-55.5439733
03836,03,1162,03836,TOTORAL DEL SAUCE,03,Canelones,-34.6607107,-55.9932366
03721,03,1154,03721,AGUAS CORRIENTES,03,Canelones,-34.5227043,-56.3941179
14721,14,1153,14721,18 DE JULIO,14,Rocha,-33.6844727,-53.5547074
03939,03,1138,03939,EL BOSQUE,03,Canelones,-34.8388009,-55.9718243
03925,03,1132,03925,BELLO HORIZONTE,03,Canelones,-34.7717946,-55.6452796
06721,06,1128,06721,CARLOS REYLES,06,Durazno,-33.0571295,-56.4766763
02725,02,1081,02725,SEQUEIRA,02,Artigas,-31.0013384,-56.8771169
07721,07,1075,07721,ISMAEL CORTINAS,07,Flores,-33.9602504,-57.0903714
16923,16,1048,16923,JUAN SOLER,16,San José,-34.3225677,-56.8054874
08724,08,1046,08724,NICO PEREZ,08,Florida,-33.4815291,-55.1542503
18723,18,1030,18723,CURTINA,18,Tacuarembó,-32.1496109,-56.1171604
08824,08,1030,08824,MENDOZA CHICO,08,Florida,-34.2394742,-56.2165198
02823,02,1025,02823,CUAREIM,02,Artigas,-30.2262817,-57.5684916
17722,17,1013,17722,SANTA CATALINA,17,Soriano,-33.7924138,-57.4857037
03935,03,1000,03935,CUCHILLA ALTA,03,Canelones,-34.7935444,-55.4943788
03989,03,997,03989,VILLA EL TATO,03,Canelones,-34.7745865,-55.9732166
15722,15,996,15722,SAN ANTONIO,15,Salto,-31.3574021,-57.7669147
05831,05,975,05831,MIGUELETE,05,Colonia,-34.0068496,-57.6472815
03946,03,942,03946,JAUREGUIBERRY,03,Canelones,-34.7828121,-55.4013317
08722,08,914,08722,CAPILLA DEL SAUCE,08,Florida,-33.4694385,-55.630689
10959,10,914,10959,PUNTA NEGRA,10,Maldonado,-34.8903467,-55.2187276
14923,14,905,14923,BARRA DEL CHUY,14,Rocha,-33.7551351,-53.3890022
03993,03,903,03993,LOMAS DE CARRASCO,03,Canelones,-34.7846262,-55.9715513
16932,16,897,16932,KIYU-ORDEIG,16,San José,-34.6989711,-56.7359646
10948,10,891,10948,OCEAN PARK,10,Maldonado,-34.8707552,-55.1202576
11695,11,886,11695,TAMBORES,11,Paysandú,-31.8794253,-56.2428341
16721,16,877,16721,ITUZAINGO,16,San José,-34.420459,-56.4236658
15949,15,871,15949,MIGLIARO,15,Salto,-31.0968091,-57.0233776
13823,13,868,13823,PASO ATAQUES,13,Rivera,-31.207419,-55.3585327
14622,14,867,14622,VELAZQUEZ,14,Rocha,-34.0376975,-54.2821383
15966,15,865,15966,COLONIA 18 DE JULIO,15,Salto,-31.3563317,-57.8739866
03912,03,843,03912,ESTANQUE DE PANDO,03,Canelones,-34.6941922,-55.9704656
03974,03,840,03974,SANTA ANA,03,Canelones,-34.7914925,-55.4722385
03825,03,838,03825,BARRIO COPOLA,03,Canelones,-34.7529446,-56.2428849
16827,16,825,16827,RAIGON,16,San José,-34.3405707,-56.6642101
03913,03,819,03913,JARDINES DE PANDO,03,Canelones,-34.6861268,-55.9663024
